DNo., Day,DD,MMM,YYYY,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus ball,   Jackpot, Wins,   Machine  ,Set
2665, Wed, 7,Jul,2021, 02,03,07,20,40,52,14,  13137760,    1,  Lancelot  ,  7 
2664, Sat, 3,Jul,2021, 01,12,27,29,31,47,23,  11095000,    0,  Guinevere ,  6 
2663, Wed,30,Jun,2021, 12,27,34,38,40,41,32,   8724593,    0,  Guinevere ,  6 
2662, Sat,26,Jun,2021, 14,24,37,39,41,53,19,   7288945,    0,  Guinevere ,  5 
2661, Wed,23,Jun,2021, 04,14,15,33,50,53,16,   5129416,    0,  Guinevere ,  5 
2660, Sat,19,Jun,2021, 12,18,21,38,44,54,14,   3800000,    0,  Lancelot  ,  4 
2659, Wed,16,Jun,2021, 06,22,28,36,48,53,13,   2000000,    1,  Lancelot  ,  4 
2658, Sat,12,Jun,2021, 09,11,16,27,36,52,50,  11966646,    0,  Lancelot  ,  3 
2657, Wed, 9,Jun,2021, 09,15,24,34,43,49,32,   9279194,    0,  Lancelot  ,  3 
2656, Sat, 5,Jun,2021, 03,06,33,39,46,57,17,   7741908,    0,  Guinevere ,  2 
2655, Wed, 2,Jun,2021, 01,15,17,33,53,59,41,   5490597,    0,  Guinevere ,  2 
2654, Sat,29,May,2021, 01,10,16,36,46,55,44,   4131870,    0,  Guinevere ,  1 
2653, Wed,26,May,2021, 28,33,36,45,49,51,48,   2000000,    0,  Guinevere ,  1 
2652, Sat,22,May,2021, 09,20,41,43,46,48,07,  20000000,    0,  Lancelot  ,  4 
2651, Wed,19,May,2021, 18,36,50,53,57,58,22,   2000000,    0,  Lancelot  ,  4 
2650, Sat,15,May,2021, 06,19,27,32,39,57,50,  12395599,    0,  Lancelot  ,  3 
2649, Wed,12,May,2021, 10,17,23,40,51,52,20,   9571521,    0,  Lancelot  ,  3 
2648, Sat, 8,May,2021, 10,12,23,31,37,46,15,   7965400,    0,  Guinevere ,  2 
2647, Wed, 5,May,2021, 08,27,34,40,55,56,43,   5641372,    0,  Guinevere ,  2 
2646, Sat, 1,May,2021, 07,10,31,32,34,40,14,   4199425,    0,  Guinevere ,  1 
2645, Wed,28,Apr,2021, 01,04,27,48,57,59,05,   2000000,    0,  Guinevere ,  1 
2644, Sat,24,Apr,2021, 16,24,29,30,32,38,01,  12068332,    0,  Lancelot  ,  4 
2643, Wed,21,Apr,2021, 04,06,14,32,34,39,46,   9309773,    0,  Lancelot  ,  4 
2642, Sat,17,Apr,2021, 07,08,18,21,23,57,04,   7774079,    0,  Lancelot  ,  3 
2641, Wed,14,Apr,2021, 06,12,20,48,52,57,34,   5560498,    0,  Lancelot  ,  3 
2640, Sat,10,Apr,2021, 20,25,26,48,49,50,30,   4173869,    0,  Guinevere ,  2 
2639, Wed, 7,Apr,2021, 12,38,40,51,57,58,29,   2000000,    0,  Guinevere ,  2 
2638, Sat, 3,Apr,2021, 02,08,28,32,40,45,05,  12523601,    1,  Guinevere ,  1 
2637, Wed,31,Mar,2021, 04,06,13,49,56,58,12,   9704965,    0,  Guinevere ,  1 
2636, Sat,27,Mar,2021, 03,05,18,22,26,49,29,   8094876,    0,  Lancelot  , 11 
2635, Wed,24,Mar,2021, 02,03,23,27,40,50,30,   5692601,    0,  Lancelot  , 11 
2634, Sat,20,Mar,2021, 12,15,24,34,36,51,21,   4255018,    0,  Lancelot  , 10 
2633, Wed,17,Mar,2021, 07,16,26,28,36,58,09,   2000000,    0,  Lancelot  , 10 
2632, Sat,13,Mar,2021, 06,08,11,17,29,44,20,   4334826,    1,  Guinevere ,  9 
2631, Wed,10,Mar,2021, 01,05,09,21,26,42,17,   2000000,    0,  Guinevere ,  9 
2630, Sat, 6,Mar,2021, 16,17,29,47,52,56,15,  20000000,    0,  Guinevere , 11 
2629, Wed, 3,Mar,2021, 02,03,08,23,40,54,52,   5250564,    0,  Guinevere , 11 
2628, Sat,27,Feb,2021, 04,33,36,39,45,49,20,   3800000,    0,  Lancelot  , 10 
2627, Wed,24,Feb,2021, 01,09,16,17,18,34,13,  13680714,    0,  Lancelot  , 10 
2626, Sat,20,Feb,2021, 03,16,18,24,36,56,10,  11543517,    0,  Lancelot  ,  9 
2625, Wed,17,Feb,2021, 05,06,08,20,26,39,01,   8990812,    0,  Lancelot  ,  9 
2624, Sat,13,Feb,2021, 15,16,37,42,44,50,48,   7459411,    0,  Guinevere , 11 
2623, Wed,10,Feb,2021, 01,15,29,33,42,49,54,   5167620,    0,  Guinevere , 11 
2622, Sat, 6,Feb,2021, 27,28,32,39,46,52,06,   3800000,    0,  Guinevere , 10 
2621, Wed, 3,Feb,2021, 04,09,17,21,26,46,12,  13420584,    0,  Guinevere , 10 
2620, Sat,30,Jan,2021, 04,28,31,36,51,55,42,  11429710,    0,  Lancelot  ,  9 
2619, Wed,27,Jan,2021, 22,30,34,35,45,50,51,   8930580,    0,  Lancelot  ,  9 
2618, Sat,23,Jan,2021, 01,06,25,45,49,52,56,   7442457,    0,  Lancelot  ,  8 
2617, Wed,20,Jan,2021, 03,05,07,13,25,57,37,   5159502,    0,  Lancelot  ,  8 
2616, Sat,16,Jan,2021, 03,15,38,45,48,53,27,   3800000,    0,  Guinevere ,  7 
2615, Wed,13,Jan,2021, 01,08,12,16,18,42,04,   2000000,    1,  Guinevere ,  7
2611, Wed,30,Dec,2020, 11,17,21,24,37,49,45,   5250464,    0,  Lancelot  ,  5 
2610, Sat,26,Dec,2020, 26,43,44,46,52,55,06,   3800000,    0,  Lancelot  ,  8 
2609, Wed,23,Dec,2020, 20,42,48,51,52,54,21,  15000000,    0,  Lancelot  ,  8 
2608, Sat,19,Dec,2020, 04,10,14,21,27,28,23,   4091879,    0,  Guinevere ,  7 
2607, Wed,16,Dec,2020, 02,28,30,36,38,43,33,   2000000,    0,  Guinevere ,  7 
